"R0","r","K","I0","trough_index","x_in","q_lineage","Q_burnout","P_persistence","cumulative_persistence","burnout_at_this_trough","m_raw","m_used","entry_status","integration_converged","troughs_found","termination_status"
1.93875,0.01,10000,1,4,0.412082579915472,0.999595756198158,0.989942777271544,0.010057222728456,0,0,24.9750478154939,25,"success",TRUE,5,"requested_troughs_found"
1.93875,0.01,10000,1,5,0.435715467915316,0.997710454838816,0.944306716152818,0.0556932838471815,0,0,24.9750478154939,25,"success",TRUE,5,"requested_troughs_found"
2.0375,0.01,10000,1,1,0.204419052548628,1,1,0,0,1,24.9915314840604,25,"success",TRUE,5,"requested_troughs_found"
2.0375,0.01,10000,1,2,0.295036763874013,0.999999998980046,0.999999974501153,2.54988471658421e-08,0,0,24.9915314840604,25,"success",TRUE,5,"requested_troughs_found"
2.0375,0.01,10000,1,3,0.346734239911365,0.999996118949228,0.99990297824933,9.70217506702258e-05,0,0,24.9915314840604,25,"success",TRUE,5,"requested_troughs_found"
2.0375,0.01,10000,1,4,0.380515664721567,0.999828474621982,0.99572068024027,0.00427931975973026,0,0,24.9915314840604,25,"success",TRUE,5,"requested_troughs_found"
2.0375,0.01,10000,1,5,0.40446802230252,0.998709440582138,0.968230768728025,0.0317692312719746,0,0,24.9915314840604,25,"success",TRUE,5,"requested_troughs_found"
2.13625,0.01,10000,1,1,0.179531528362644,1,1,0,0,1,24.8983028273201,25,"success",TRUE,5,"requested_troughs_found"
2.13625,0.01,10000,1,2,0.26727378974693,0.999999999914561,0.999999997864036,2.13596362600154e-09,0,0,24.8983028273201,25,"success",TRUE,5,"requested_troughs_found"
2.13625,0.01,10000,1,3,0.318418373084607,0.999999076802923,0.999976920328753,2.3079671247468e-05,0,0,24.8983028273201,25,"success",TRUE,5,"requested_troughs_found"
2.13625,0.01,10000,1,4,0.352194767897483,0.999931488804123,0.998288627498917,0.00171137250108274,0,0,24.8983028273201,25,"success",TRUE,5,"requested_troughs_found"
2.13625,0.01,10000,1,5,0.37631137028285,0.99930649308111,0.982805848349447,0.0171941516505526,0,0,24.8983028273201,25,"success",TRUE,5,"requested_troughs_found"
2.235,0.01,10000,1,1,0.158086451851553,1,1,0,0,1,24.7236110485514,25,"success",TRUE,5,"requested_troughs_found"
2.235,0.01,10000,1,2,0.242698604280393,0.999999999993533,0.999999999838329,1.61670676833369e-10,0,0,24.7236110485514,25,"success",TRUE,5,"requested_troughs_found"
2.235,0.01,10000,1,3,0.29307335622787,0.999999795997218,0.999994899942943,5.1000570565649e-06,0,0,24.7236110485514,25,"success",TRUE,5,"requested_troughs_found"
2.235,0.01,10000,1,4,0.326689413478446,0.999974152935508,0.999354023769212,0.000645976230788286,0,0,24.7236110485514,25,"success",TRUE,5,"requested_troughs_found"
2.235,0.01,10000,1,5,0.35085022061064,0.999643923575779,0.991136022885211,0.00886397711478856,0,0,24.7236110485514,25,"success",TRUE,5,"requested_troughs_found"
2.33375,0.01,10000,1,1,0.139532306023649,1,1,0,0,1,24.4887022336187,24,"success",TRUE,5,"requested_troughs_found"
2.33375,0.01,10000,1,2,0.220862640216622,0.999999999999555,0.999999999989326,1.06741282479015e-11,0,0,24.4887022336187,24,"success",TRUE,5,"requested_troughs_found"
2.33375,0.01,10000,1,3,0.270304491771515,0.99999995795969,0.99999899103305,1.0089669498002e-06,0,0,24.4887022336187,24,"success",TRUE,5,"requested_troughs_found"
2.33375,0.01,10000,1,4,0.30363832692679,0.999990761818209,0.999778307190357,0.000221692809642758,0,0,24.4887022336187,24,"success",TRUE,5,"requested_troughs_found"
2.33375,0.01,10000,1,5,0.327749078666872,0.999824938112489,0.995806962330209,0.00419303766979119,0,0,24.4887022336187,24,"success",TRUE,5,"requested_troughs_found"
2.4325,0.01,10000,1,1,0.123420656743087,1,1,0,0,1,24.2096735179761,24,"success",TRUE,5,"requested_troughs_found"
2.4325,0.01,10000,1,2,0.20139237790364,0.999999999999972,0.999999999999329,6.71462885293079e-13,0,0,24.2096735179761,24,"success",TRUE,5,"requested_troughs_found"
2.4325,0.01,10000,1,3,0.249780031497136,0.999999991894007,0.999999805456194,1.94543805582034e-07,0,0,24.2096735179761,24,"success",TRUE,5,"requested_troughs_found"
2.4325,0.01,10000,1,4,0.282736148446709,0.999996863753899,0.999924732808257,7.52671917432039e-05,0,0,24.2096735179761,24,"success",TRUE,5,"requested_troughs_found"
2.4325,0.01,10000,1,5,0.30672179598201,0.999917428363577,0.998020161375618,0.00197983862438193,0,0,24.2096735179761,24,"success",TRUE,5,"requested_troughs_found"
2.53125,0.01,10000,1,1,0.10938228230324,1,1,0,0,1,23.8987959152568,24,"success",TRUE,5,"requested_troughs_found"
2.53125,0.01,10000,1,2,0.183977026145294,0.999999999999998,0.999999999999963,3.73034936274046e-14,0,0,23.8987959152568,24,"success",TRUE,5,"requested_troughs_found"
2.53125,0.01,10000,1,3,0.231222230970142,0.999999998532707,0.99999996478497,3.52150302971086e-08,0,0,23.8987959152568,24,"success",TRUE,5,"requested_troughs_found"
2.53125,0.01,10000,1,4,0.263725162798303,0.999998986183173,0.999975668679831,2.43313201689368e-05,0,0,23.8987959152568,24,"success",TRUE,5,"requested_troughs_found"
2.53125,0.01,10000,1,5,0.287525218730543,0.999962565541836,0.999101959667388,0.000898040332612139,0,0,23.8987959152568,24,"success",TRUE,5,"requested_troughs_found"
2.63,0.01,10000,1,1,0.0971132093868778,1,1,0,0,1,23.5654700805274,24,"success",TRUE,5,"requested_troughs_found"
2.63,0.01,10000,1,2,0.168352807211716,1,1,0,0,0,23.5654700805274,24,"success",TRUE,5,"requested_troughs_found"
