"R0","r","K","I0","x_in","y_BL","I_in","q1","m_raw","m_used","P_burnout","status","boundary_entry_found","integration_converged","integration_absolute_error","integration_subdivisions","t_peak","I_peak","t_in"
1.445,0.29175,10000,1,0.638846968952149,0.0621777756492379,621.777756492379,0.854841075934294,621.777756492379,622,4.29247491479706e-43,"success",TRUE,TRUE,7.22329052945838e-09,6,19.5327406732112,972.974221264142,25.6676230239448
1.54375,0.29175,10000,1,0.570803562265469,0.0665665721450934,665.665721450934,0.85468129742463,665.665721450934,666,3.81590544743114e-46,"success",TRUE,TRUE,3.27867721038657e-07,5,16.308672802406,1180.53530446388,21.723779564949
1.6425,0.29175,10000,1,0.509125247888573,0.0694821486902553,694.821486902553,0.858698616532821,694.821486902553,695,1.04551537286738e-46,"success",TRUE,TRUE,2.86123211766472e-10,6,14.0448781365331,1382.85736413642,18.9651036676841
1.74125,0.29175,10000,1,0.453805174655238,0.0713268939302193,713.268939302193,0.865467205868501,713.268939302193,713,1.81840003503443e-45,"success",TRUE,TRUE,1.68719455295946e-07,5,12.3610208135181,1578.79805395143,16.9203168696735
1.84,0.29175,10000,1,0.404494287330713,0.0723859877126654,723.859877126654,0.87398652119121,723.859877126654,724,4.46095733499236e-43,"success",TRUE,TRUE,2.78713067362794e-09,6,11.0556979047796,1767.84084869023,15.3407093446894
1.93875,0.29175,10000,1,0.360701892522236,0.0728647020017035,728.647020017035,0.883529453167278,728.647020017035,729,6.2392453837177e-40,"success",TRUE,TRUE,1.3747509916822e-07,5,10.0120517337768,1949.62550882552,14.0822264222953
2.0375,0.29175,10000,1,0.321872699208249,0.0729127931047461,729.127931047462,0.893572024018819,729.127931047461,729,2.36293475188895e-36,"success",TRUE,TRUE,3.21109281149409e-07,5,9.15709237840402,2124.27236192081,13.0550274664148
2.13625,0.29175,10000,1,0.28747422968361,0.0726407984987063,726.407984987063,0.903718073638947,726.407984987063,726,1.20208368442063e-32,"success",TRUE,TRUE,7.74635931586297e-07,5,8.4430664259404,2291.78246629516,12.2004404270657
2.235,0.29175,10000,1,0.257008513772228,0.0721311352341486,721.311352341486,0.913673309011706,721.311352341486,721,5.37361301545886e-29,"success",TRUE,TRUE,6.8580185167734e-07,5,7.8372094016418,2452.30832465335,11.4783846242583
2.33375,0.29175,10000,1,0.229994702551159,0.0714457887665824,714.457887665825,0.923243602612793,714.457887665825,714,1.72124700016373e-25,"success",TRUE,TRUE,2.31073299872985e-07,5,7.31620331998244,2606.21805528509,10.8599507889696
2.4325,0.29175,10000,1,0.206034958708033,0.0706317224886953,706.317224886953,0.932272160248261,706.317224886953,706,3.14164473836894e-22,"success",TRUE,TRUE,4.19423053017298e-07,5,6.86306320243362,2753.8439486858,10.3246575345719
2.53125,0.29175,10000,1,0.18475101548019,0.0697247370827618,697.247370827618,0.940672619365805,697.247370827618,697,3.06645486519943e-19,"success",TRUE,TRUE,1.6152704643729e-07,6,6.46517790151097,2895.33217554402,9.85669062328288
2.63,0.29175,10000,1,0.165831487425961,0.0687522589599387,687.522589599387,0.948381187765632,687.522589599387,688,1.45967541694808e-16,"success",TRUE,TRUE,3.94952851516768e-07,6,6.11279972612405,3031.13836271073,9.4444404808115
2.72875,0.29175,10000,1,0.148995061526016,0.0677353782581389,677.353782581389,0.955373137305709,677.353782581389,677,3.77692620388939e-14,"success",TRUE,TRUE,1.21629378933006e-06,6,5.79830262560172,3161.85343442348,9.07874862743807
2.8275,0.29175,10000,1,0.13398045556343,0.066690354068018,666.90354068018,0.961659717508964,666.90354068018,667,4.73467450143506e-12,"success",TRUE,TRUE,1.25856330017333e-06,7,5.51622764921621,3286.46434428627,8.75194448037712
2.92625,0.29175,10000,1,0.120590430600642,0.0656297368693321,656.297368693321,0.967246902992448,656.297368693321,656,3.25461919255508e-10,"success",TRUE,TRUE,2.87418223821935e-06,7,5.26125013373433,3406.82076374839,8.45875888951092
3.025,0.29175,10000,1,0.108624097191181,0.064563212895294,645.63212895294,0.972176911700485,645.63212895294,646,1.21189666251647e-08,"success",TRUE,TRUE,6.03507808570009e-08,8,5.02988297195822,3522.13633224955,8.19411007509805
3.12375,0.29175,10000,1,0.0979208969457863,0.0634982444358296,634.982444358296,0.976489571721477,634.982444358296,635,2.74746479675711e-07,"success",TRUE,TRUE,8.20666643026354e-08,8,4.81876441845315,3633.3251952466,7.95427692822066
3.2225,0.29175,10000,1,0.0883395870750532,0.0624405589818004,624.405589818004,0.980231988204832,624.405589818004,624,3.88342947846862e-06,"success",TRUE,TRUE,1.03705032267247e-07,8,4.62539890832883,3740.24770156199,7.73620396350107
3.32125,0.29175,10000,1,0.0797476284022254,0.061394525421873,613.945254218729,0.983460039392133,613.945254218729,614,3.56964390418277e-05,"success",TRUE,TRUE,1.23205811524553e-07,8,4.44727419844031,3844.32154739271,7.53697660084846
3.42,0.29175,10000,1,0.0720352160061072,0.0603634451626141,603.634451626141,0.98622566450778,603.634451626141,604,0.000229977411286375,"success",TRUE,TRUE,1.39281460927441e-07,8,4.28340008794133,3942.77931043121,7.35437202804868
3.51875,0.29175,10000,1,0.0651113526304672,0.0593497786849818,593.497786849818,0.988577313041524,593.497786849818,593,0.00109978873329325,"success",TRUE,TRUE,4.88815234538858e-06,7,4.13146370608245,4038.51501152616,7.18682264517257
