"R01","R02","boundary_event","entry_case","Q1","Q2","surv1","surv2","both_burnout","strain1_only_burnout","strain2_only_burnout","neither_burnout","error_message"
1.2,2.09,"yes","strain2_reentered_before_strain1_escaped",1,0.990389074756231,0,0.00961092524376872,0.990389074756231,0.00961092524376872,0,0,NA
1.2,2.1,"yes","strain2_reentered_before_strain1_escaped",1,0.990535273261216,0,0.00946472673878351,0.990535273261216,0.00946472673878351,0,0,NA
1.2,2.11,"yes","strain2_reentered_before_strain1_escaped",1,0.990673562719448,0,0.00932643728055238,0.990673562719448,0.00932643728055238,0,0,NA
1.2,2.12,"yes","strain2_reentered_before_strain1_escaped",1,0.990804247160782,0,0.00919575283921814,0.990804247160782,0.00919575283921814,0,0,NA
1.2,2.13,"yes","strain2_reentered_before_strain1_escaped",1,0.990927738173536,0,0.00907226182646403,0.990927738173536,0.00907226182646403,0,0,NA
1.2,2.14,"yes","strain2_reentered_before_strain1_escaped",1,0.991044335256116,0,0.00895566474388421,0.991044335256116,0.00895566474388421,0,0,NA
1.2,2.15,"yes","strain2_reentered_before_strain1_escaped",1,0.991154356199996,0,0.00884564380000397,0.991154356199996,0.00884564380000397,0,0,NA
1.2,2.16,"yes","strain2_reentered_before_strain1_escaped",1,0.991258067596426,0,0.00874193240357357,0.991258067596426,0.00874193240357357,0,0,NA
1.2,2.17,"yes","strain2_reentered_before_strain1_escaped",1,0.991355764390054,0,0.00864423560994554,0.991355764390054,0.00864423560994554,0,0,NA
1.2,2.18,"yes","strain2_reentered_before_strain1_escaped",1,0.991447648225011,0,0.00855235177498948,0.991447648225011,0.00855235177498948,0,0,NA
1.2,2.19,"yes","strain2_reentered_before_strain1_escaped",1,0.9915340041532,0,0.00846599584679975,0.9915340041532,0.00846599584679975,0,0,NA
1.2,2.2,"yes","strain2_reentered_before_strain1_escaped",1,0.991615007405888,0,0.00838499259411207,0.991615007405888,0.00838499259411207,0,0,NA
1.2,2.21,"yes","strain2_reentered_before_strain1_escaped",1,0.991690897148891,0,0.00830910285110864,0.991690897148891,0.00830910285110864,0,0,NA
