"varied_parameter","parameter_value","R0","K","r","alpha","step","tau","occupied_patches_raw","occupancy_fraction_raw","occupied_patches_established","patches_with_complete_window","occupancy_fraction_established","global_I"
"R0",1.5,1.5,10000,0.125,1e-04,13.3,50,200,1,200,200,1,167869
"R0",1.5,1.5,10000,0.125,1e-04,13.4,50,200,1,200,200,1,166563
"R0",1.5,1.5,10000,0.125,1e-04,13.5,50,200,1,200,200,1,165108
"R0",1.5,1.5,10000,0.125,1e-04,13.6,50,200,1,200,200,1,163495
"R0",1.5,1.5,10000,0.125,1e-04,13.7,50,200,1,200,200,1,161913
"R0",1.5,1.5,10000,0.125,1e-04,13.8,50,200,1,200,200,1,160106
"R0",1.5,1.5,10000,0.125,1e-04,13.9,50,200,1,200,200,1,158507
"R0",1.5,1.5,10000,0.125,1e-04,14,50,200,1,200,200,1,156452
"R0",1.5,1.5,10000,0.125,1e-04,14.1,50,200,1,200,200,1,154489
"R0",1.5,1.5,10000,0.125,1e-04,14.2,50,200,1,200,200,1,152268
"R0",1.5,1.5,10000,0.125,1e-04,14.3,50,200,1,200,200,1,150224
"R0",1.5,1.5,10000,0.125,1e-04,14.4,50,200,1,200,200,1,148185
"R0",1.5,1.5,10000,0.125,1e-04,14.5,50,200,1,200,200,1,145933
"R0",1.5,1.5,10000,0.125,1e-04,14.6,50,200,1,200,200,1,143784
"R0",1.5,1.5,10000,0.125,1e-04,14.7,50,200,1,200,200,1,141645
"R0",1.5,1.5,10000,0.125,1e-04,14.8,50,200,1,200,200,1,139500
"R0",1.5,1.5,10000,0.125,1e-04,14.9,50,200,1,200,200,1,137318
"R0",1.5,1.5,10000,0.125,1e-04,15,50,200,1,200,200,1,135152
"R0",1.5,1.5,10000,0.125,1e-04,15.1,50,200,1,200,200,1,133156
"R0",1.5,1.5,10000,0.125,1e-04,15.2,50,200,1,200,200,1,130822
"R0",1.5,1.5,10000,0.125,1e-04,15.3,50,200,1,200,200,1,128669
"R0",1.5,1.5,10000,0.125,1e-04,15.4,50,200,1,200,200,1,126477
"R0",1.5,1.5,10000,0.125,1e-04,15.5,50,200,1,200,200,1,124144
"R0",1.5,1.5,10000,0.125,1e-04,15.6,50,200,1,200,200,1,122091
"R0",1.5,1.5,10000,0.125,1e-04,15.7,50,200,1,200,200,1,119690
"R0",1.5,1.5,10000,0.125,1e-04,15.8,50,200,1,200,200,1,117506
"R0",1.5,1.5,10000,0.125,1e-04,15.9,50,200,1,200,200,1,115508
"R0",1.5,1.5,10000,0.125,1e-04,16,50,200,1,200,200,1,113631
"R0",1.5,1.5,10000,0.125,1e-04,16.1,50,200,1,200,200,1,111514
"R0",1.5,1.5,10000,0.125,1e-04,16.2,50,200,1,200,200,1,109492
"R0",1.5,1.5,10000,0.125,1e-04,16.3,50,200,1,200,200,1,107224
"R0",1.5,1.5,10000,0.125,1e-04,16.4,50,200,1,200,200,1,105300
"R0",1.5,1.5,10000,0.125,1e-04,16.5,50,200,1,200,200,1,103091
"R0",1.5,1.5,10000,0.125,1e-04,16.6,50,200,1,200,200,1,101080
"R0",1.5,1.5,10000,0.125,1e-04,16.7,50,200,1,200,200,1,99133
"R0",1.5,1.5,10000,0.125,1e-04,16.8,50,200,1,200,200,1,97053
"R0",1.5,1.5,10000,0.125,1e-04,16.9,50,200,1,200,200,1,95195
"R0",1.5,1.5,10000,0.125,1e-04,17,50,200,1,200,200,1,93324
"R0",1.5,1.5,10000,0.125,1e-04,17.1,50,200,1,200,200,1,91566
"R0",1.5,1.5,10000,0.125,1e-04,17.2,50,200,1,200,200,1,89536
"R0",1.5,1.5,10000,0.125,1e-04,17.3,50,200,1,200,200,1,87798
"R0",1.5,1.5,10000,0.125,1e-04,17.4,50,200,1,200,200,1,86110
"R0",1.5,1.5,10000,0.125,1e-04,17.5,50,200,1,200,200,1,84336
"R0",1.5,1.5,10000,0.125,1e-04,17.6,50,200,1,200,200,1,82376
"R0",1.5,1.5,10000,0.125,1e-04,17.7,50,200,1,200,200,1,80653
"R0",1.5,1.5,10000,0.125,1e-04,17.8,50,200,1,200,200,1,79057
"R0",1.5,1.5,10000,0.125,1e-04,17.9,50,200,1,200,200,1,77654
"R0",1.5,1.5,10000,0.125,1e-04,18,50,200,1,200,200,1,76213
"R0",1.5,1.5,10000,0.125,1e-04,18.1,50,200,1,200,200,1,74706
"R0",1.5,1.5,10000,0.125,1e-04,18.2,50,200,1,200,200,1,73239
"R0",1.5,1.5,10000,0.125,1e-04,18.3,50,200,1,200,200,1,71735
"R0",1.5,1.5,10000,0.125,1e-04,18.4,50,200,1,200,200,1,70020
"R0",1.5,1.5,10000,0.125,1e-04,18.5,50,200,1,200,200,1,68773
"R0",1.5,1.5,10000,0.125,1e-04,18.6,50,200,1,200,200,1,67322
"R0",1.5,1.5,10000,0.125,1e-04,18.7,50,200,1,200,200,1,65936
"R0",1.5,1.5,10000,0.125,1e-04,18.8,50,200,1,200,200,1,64711
"R0",1.5,1.5,10000,0.125,1e-04,18.9,50,200,1,200,200,1,63358
"R0",1.5,1.5,10000,0.125,1e-04,19,50,200,1,200,200,1,62005
