"R0","K","log10K","r","gamma","dt","t_max","nsim","n_patch","alpha","I_init","mean_ext_time_index","mean_T_ext","ext_prob","n_ext","finite_conditional_mean"
1.4,17782.7941003892,4.25,0.05,1,0.1,200,1000,1,0,10,437.456989247312,43.6456989247312,0.372,372,TRUE
1.5,17782.7941003892,4.25,0.05,1,0.1,200,1000,1,0,10,404.456666666667,40.3456666666667,0.6,600,TRUE
1.6,17782.7941003892,4.25,0.05,1,0.1,200,1000,1,0,10,367.90234375,36.690234375,0.768,768,TRUE
1.7,17782.7941003892,4.25,0.05,1,0.1,200,1000,1,0,10,330.433481152993,32.9433481152993,0.902,902,TRUE
1.8,17782.7941003892,4.25,0.05,1,0.1,200,1000,1,0,10,304.515957446808,30.3515957446808,0.94,940,TRUE
1.9,17782.7941003892,4.25,0.05,1,0.1,200,1000,1,0,10,273.106014271152,27.2106014271152,0.981,981,TRUE
2,17782.7941003892,4.25,0.05,1,0.1,200,1000,1,0,10,256.011133603239,25.5011133603239,0.988,988,TRUE
2.1,17782.7941003892,4.25,0.05,1,0.1,200,1000,1,0,10,238.438877755511,23.7438877755511,0.998,998,TRUE
2.2,17782.7941003892,4.25,0.05,1,0.1,200,1000,1,0,10,227.574,22.6574,1,1000,TRUE
2.3,17782.7941003892,4.25,0.05,1,0.1,200,1000,1,0,10,213.782,21.2782,1,1000,TRUE
2.4,17782.7941003892,4.25,0.05,1,0.1,200,1000,1,0,10,205.177,20.4177,1,1000,TRUE
2.5,17782.7941003892,4.25,0.05,1,0.1,200,1000,1,0,10,197.479,19.6479,1,1000,TRUE
2.6,17782.7941003892,4.25,0.05,1,0.1,200,1000,1,0,10,189.026,18.8026,1,1000,TRUE
2.7,17782.7941003892,4.25,0.05,1,0.1,200,1000,1,0,10,184.227,18.3227,1,1000,TRUE
2.8,17782.7941003892,4.25,0.05,1,0.1,200,1000,1,0,10,179.434,17.8434,1,1000,TRUE
2.9,17782.7941003892,4.25,0.05,1,0.1,200,1000,1,0,10,173.314,17.2314,1,1000,TRUE
3,17782.7941003892,4.25,0.05,1,0.1,200,1000,1,0,10,168.972,16.7972,1,1000,TRUE
3.1,17782.7941003892,4.25,0.05,1,0.1,200,1000,1,0,10,166.07,16.507,1,1000,TRUE
3.2,17782.7941003892,4.25,0.05,1,0.1,200,1000,1,0,10,162.987,16.1987,1,1000,TRUE
3.3,17782.7941003892,4.25,0.05,1,0.1,200,1000,1,0,10,159.56,15.856,1,1000,TRUE
3.4,17782.7941003892,4.25,0.05,1,0.1,200,1000,1,0,10,156.579,15.5579,1,1000,TRUE
