"patch","I1_extinction_events","I1_recolonization_events","I2_extinction_events_after_intro","I2_recolonization_events_after_intro","fraction_time_I1_present","fraction_time_I2_present_after_intro","mean_population"
132,4,3,1,2,0.0617876424715057,0.0357410647338165,8888.13877224555
133,3,2,1,1,0.105578884223155,0.0624843789052737,8193.91921615677
134,4,3,3,3,0.144171165766847,0.107473131717071,7328.16056788642
135,2,1,0,1,0.0437912417516497,0.314421394651337,8065.96640671866
136,2,1,0,1,0.0871825634873025,0.0192451887028243,8993.88422315537
137,2,1,0,0,0.0695860827834433,0,9010.87302539492
138,4,3,0,1,0.0717856428714257,0.4703824043989,6844.88162367526
139,4,3,0,1,0.0669866026794641,0.435891027243189,6996.23155368926
140,2,1,1,1,0.0719856028794241,0.0547363159210197,8711.17436512698
141,3,2,1,1,0.0903819236152769,0.000749812546863284,8492.64607078584
142,2,2,1,1,0.663467306538692,0.000999750062484379,5381.83903219356
143,1,0,1,1,0.0337932413517297,0.00149962509372657,9469.52569486103
144,3,2,0,0,0.0523895220955809,0,9009.93061387722
145,3,3,2,2,0.104779044191162,0.0549862534366408,8392.95680863827
146,5,4,2,2,0.171565686862627,0.105723569107723,7241.24475104979
147,2,2,1,1,0.101379724055189,0.0627343164208948,8413.67286542692
148,2,1,0,1,0.0625874825034993,0.0482379405148713,8797.00899820036
149,3,2,0,0,0.104179164167167,0,8506.58108378324
150,2,1,1,2,0.0403919216156769,0.294926268432892,8034.01519696061
151,8,7,0,0,0.180963807238552,0,7492.7200559888
152,4,3,1,1,0.101779644071186,0.0572356910772307,8155.54029194161
153,3,3,1,2,0.412717456508698,0.00874781304673831,6839.34933013397
154,4,3,1,1,0.0635872825434913,0.00224943764058985,9005.38472305539
155,3,2,1,1,0.0733853229354129,0.0597350662334416,8601.92781443711
156,2,1,1,1,0.0673865226954609,0.000499875031242189,8987.48890221956
157,1,0,0,0,0.0273945210957808,0,9523.77904419116
158,2,1,2,2,0.0509898020395921,0.0687328167958011,9082.59028194361
159,1,0,1,2,0.0351929614077185,0.0222444388902774,9467.43871225755
160,3,2,2,2,0.110377924415117,0.0484878780304924,8062.96360727854
161,5,4,0,0,0.113977204559088,0,8536.93421315737
162,3,3,4,4,0.119776044791042,0.0542364408897776,8376.46390721856
163,3,2,0,0,0.0641871625674865,0,9027.24335132973
164,3,2,1,1,0.117976404719056,0.0647338165458635,8765.39632073585
165,2,1,0,0,0.0661867626474705,0,9053.95040991802
166,3,2,1,1,0.0645870825834833,0.000749812546863284,9009.54649070186
167,3,2,0,1,0.0989802039592082,0.25343664083979,7338.04419116177
168,2,1,2,2,0.0659868026394721,0.00399900024993752,9008.30453909218
169,2,1,0,1,0.0381923615276945,0.851287178205449,5568.70305938812
170,5,4,0,0,0.131573685262947,0,8114.37412517497
171,3,2,0,1,0.0743851229754049,0.529117720569858,6568.17516496701
172,3,2,0,0,0.105978804239152,0,8820.98020395921
173,1,0,1,1,0.0317936412717457,0.00124968757810547,9487.74545090982
174,1,0,1,1,0.0367926414717057,0.0612346913271682,9073.61947610478
175,3,2,0,0,0.0681863627274545,0,9032.19176164767
176,1,0,1,1,0.0335932813437313,0.0467383154211447,9114.12837432514
177,4,3,1,1,0.102979404119176,0.00324918770307423,8491.9850029994
178,1,0,1,1,0.0315936812637473,0.0584853786553362,9087.0423915217
179,1,0,0,1,0.0253949210157968,0.116970757310672,8991.43191361728
180,1,0,0,1,0.0389922015596881,0.42014496375906,7557.61687662467
181,1,1,4,4,0.605478904219156,0.00974756310922269,5811.48030393921
182,1,0,0,0,0.0353929214157169,0,9513.93621275745
183,1,0,0,0,0.0261947610477904,0,9495.19736052789
184,4,3,1,1,0.0633873225354929,0.0614846288427893,8725.86202759448
185,2,1,1,2,0.0677864427114577,0.364158960259935,7338.96520695861
186,3,2,1,1,0.0295940811837632,0.0519870032491877,9096.72265546891
187,1,0,1,1,0.0225954809038192,0.052736815796051,9079.99940011998
188,3,3,0,0,0.142971405718856,0,8301.5548890222
189,2,1,0,1,0.0635872825434913,0.0872281929517621,8664.83223355329
190,4,3,1,2,0.0585882823435313,0.462134466383404,6779.15876824635
191,3,2,0,0,0.105178964207159,0,8558.91641671666
192,2,1,3,3,0.025994801039792,0.179955011247188,8335.17476504699
193,1,0,1,1,0.0251949610077984,0.00199950012496876,9501.24375124975
194,4,3,2,2,0.100179964007199,0.102474381404649,8156.8700259948
195,1,0,0,0,0.0241951609678064,0,9502.11937612478
196,4,3,0,0,0.125574885022995,0,8607.69606078784
197,2,1,3,3,0.135172965406919,0.113721569607598,7928.60027994401
198,2,1,0,0,0.02999400119976,0,9513.78824235153
199,3,2,0,0,0.0937812437512497,0,9021.61487702459
200,2,1,1,1,0.0721855628874225,0.000499875031242189,8992.36112777445
