"step","patches_neither","patches_I1_only","patches_I2_only","patches_both","occupied_I1","occupied_I2","global_I1","global_I2","mean_N","I1_local_extinctions","I1_recolonizations","I2_local_extinctions","I2_recolonizations"
13.4,42,158,0,0,158,0,493,0,1428.27,3,0,0,0
13.5,44,156,0,0,156,0,465,0,1443.705,2,0,0,0
13.6,49,151,0,0,151,0,448,0,1459.2,5,0,0,0
13.7,55,145,0,0,145,0,430,0,1475.01,6,0,0,0
13.8,61,139,0,0,139,0,402,0,1490.375,6,0,0,0
13.9,63,137,0,0,137,0,382,0,1505.93,2,0,0,0
14,67,133,0,0,133,0,374,0,1521.62,4,0,0,0
14.1,69,131,0,0,131,0,360,0,1537.095,2,0,0,0
14.2,73,127,0,0,127,0,341,0,1553.665,4,0,0,0
14.3,80,120,0,0,120,0,330,0,1570.315,7,0,0,0
14.4,86,114,0,0,114,0,313,0,1586.85,6,0,0,0
14.5,94,106,0,0,106,0,294,0,1603.61,8,0,0,0
14.6,97,103,0,0,103,0,289,0,1619.955,3,0,0,0
14.7,99,101,0,0,101,0,279,0,1637.035,2,0,0,0
14.8,102,98,0,0,98,0,278,0,1654.08,3,0,0,0
14.9,105,95,0,0,95,0,269,0,1671.14,3,0,0,0
15,112,88,0,0,88,0,262,0,1688.7,7,0,0,0
15.1,114,86,0,0,86,0,250,0,1705.99,2,0,0,0
15.2,117,83,0,0,83,0,231,0,1723.7,3,0,0,0
15.3,119,81,0,0,81,0,227,0,1741.385,2,0,0,0
15.4,120,80,0,0,80,0,222,0,1758.71,1,0,0,0
15.5,122,78,0,0,78,0,211,0,1777.07,2,0,0,0
15.6,123,77,0,0,77,0,199,0,1795.32,1,0,0,0
15.7,124,76,0,0,76,0,188,0,1813.055,1,0,0,0
15.8,126,74,0,0,74,0,182,0,1831.065,2,0,0,0
15.9,132,68,0,0,68,0,174,0,1850.1,6,0,0,0
16,134,66,0,0,66,0,176,0,1868.61,2,0,0,0
16.1,135,65,0,0,65,0,174,0,1887.565,1,0,0,0
16.2,139,61,0,0,61,0,165,0,1906.47,4,0,0,0
16.3,141,59,0,0,59,0,161,0,1925.135,2,0,0,0
16.4,141,59,0,0,59,0,165,0,1944.505,0,0,0,0
16.5,142,58,0,0,58,0,153,0,1964.09,1,0,0,0
16.6,143,57,0,0,57,0,141,0,1983.48,1,0,0,0
16.7,143,57,0,0,57,0,132,0,2003.035,0,0,0,0
16.8,145,55,0,0,55,0,127,0,2023.015,2,0,0,0
16.9,150,50,0,0,50,0,125,0,2042.47,5,0,0,0
17,154,46,0,0,46,0,124,0,2062.745,4,0,0,0
17.1,155,45,0,0,45,0,123,0,2083.2,1,0,0,0
17.2,157,43,0,0,43,0,117,0,2103.535,2,0,0,0
17.3,158,42,0,0,42,0,117,0,2124.07,1,0,0,0
17.4,158,42,0,0,42,0,111,0,2144.71,0,0,0,0
17.5,160,40,0,0,40,0,114,0,2166.355,2,0,0,0
17.6,161,39,0,0,39,0,111,0,2187.515,1,0,0,0
17.7,162,38,0,0,38,0,110,0,2208.44,1,0,0,0
17.8,163,37,0,0,37,0,103,0,2230.51,1,0,0,0
17.9,165,35,0,0,35,0,98,0,2252.715,2,0,0,0
18,165,35,0,0,35,0,94,0,2274.315,0,0,0,0
18.1,166,34,0,0,34,0,93,0,2296.495,1,0,0,0
18.2,166,34,0,0,34,0,93,0,2318.555,0,0,0,0
18.3,168,32,0,0,32,0,89,0,2340.615,2,0,0,0
18.4,170,30,0,0,30,0,85,0,2363.255,2,0,0,0
18.5,170,30,0,0,30,0,87,0,2385.305,0,0,0,0
18.6,170,30,0,0,30,0,84,0,2408.23,0,0,0,0
18.7,171,29,0,0,29,0,83,0,2430.52,1,0,0,0
18.8,172,28,0,0,28,0,80,0,2453.345,1,0,0,0
18.9,174,26,0,0,26,0,81,0,2476.27,2,0,0,0
