"patch","extinction_events","recolonization_events","fraction_time_infected","mean_population"
81,2,2,0.046865489957395,2659.07486305539
82,8,8,0.141509433962264,2128.37827145466
83,3,4,0.0690809494826537,2603.00882531954
84,5,5,0.186853317102861,2231.48326232502
85,5,5,0.0867315885575167,2476.8247108947
86,6,6,0.119902617163725,2182.51004260499
87,7,7,0.054169202678028,2660.64850882532
88,8,7,0.0766889835666464,2488.02221545953
89,7,7,0.0986001217285453,2360.16585514303
90,10,10,0.324710894704808,1958.58277541083
91,3,3,0.0660377358490566,2479.80036518564
92,4,4,0.0699939135727328,2576.65459525259
93,6,6,0.185331710286062,2453.95191722459
94,4,4,0.0611685940353013,2494.60590383445
95,12,11,0.183201460742544,1874.90383444918
96,5,6,0.0766889835666464,2681.59373097991
97,9,8,0.101947656725502,2308.12964090079
98,6,5,0.103164942178941,2404.17833231893
99,8,9,0.169506999391357,2247.23037127206
100,10,10,0.119902617163725,2266.69780888618
101,4,4,0.0657334144856969,2546.69659160073
102,7,7,0.117772367620207,2251.57851491175
103,7,6,0.104990870359099,2591.65976871576
104,7,6,0.18715763846622,2025.36001217285
105,6,6,0.109555690809495,2472.33688374924
106,3,4,0.170419963481436,2698.59616555082
107,9,9,0.220937309799148,2140.25106512477
108,5,4,0.0982958003651856,2430.23432744979
109,7,7,0.118685331710286,2443.47078514912
110,9,9,0.307973219720024,2070.09525258673
111,4,3,0.133292757151552,2385.39440048691
112,4,4,0.081253804017042,2591.80340839927
113,4,4,0.00182592818015825,2999.61898965307
114,7,7,0.133292757151552,2242.57455873402
115,3,4,0.0636031649421789,2628.09738283628
116,7,6,0.240718198417529,2029.39500912964
117,11,10,0.240109555690809,1685.47748021911
118,10,10,0.203590992087645,1977.57242848448
119,4,3,0.45830797321972,1782.36640292149
120,5,5,0.0992087644552648,2439.73676202069
121,8,9,0.0748630553864881,2446.26932440657
122,6,5,0.134510042604991,2413.42148508825
123,9,9,0.163420572124163,2093.18746195983
124,5,4,0.523432744978698,1990.07668898357
125,8,9,0.142118076688984,2173.09951308582
126,8,8,0.12507608034084,2251.00699939136
127,7,8,0.178636640292149,2170.85970785149
128,9,9,0.266585514303104,1908.11746804626
129,8,8,0.0849056603773585,2534.28758368837
130,8,8,0.159464394400487,2211.85118685332
131,3,2,0.515520389531345,1955.09890444309
132,9,8,0.111077297626293,2497.55690809495
133,4,4,0.0702982349360925,2544.37553256239
134,7,7,0.202982349360925,1939.07090687766
135,3,2,0.321667681071211,2197.04534388314
136,2,2,0.0228241022519781,2834.49908703591
137,6,5,0.19750456482045,2232.20359099209
138,9,8,0.121728545343883,2018.73950091296
139,3,2,0.0523432744978697,2575.04077906269
140,8,7,0.0852099817407182,2469.67255021302
141,8,8,0.13542300669507,2047.46135118685
142,5,4,0.0855143031040779,2565.67407181984
143,10,10,0.106816798539257,2179.40474741327
144,12,12,0.163724893487523,2054.27084601339
145,6,5,0.244674376141205,2076.48630553865
146,4,4,0.0696895922093731,2434.79914790018
147,7,7,0.142422398052343,2227.68594035301
148,6,5,0.327754108338405,1956.03773584906
149,6,6,0.0684723067559343,2547.8928788801
150,4,5,0.0858186244674376,2725.36853317103
151,4,4,0.0681679853925746,2576.17498478393
152,6,7,0.151552038953135,2350.93487522824
153,9,9,0.131466828971394,2299.65733414486
154,5,5,0.217894096165551,2384.99939135727
155,7,7,0.0982958003651856,2401.99026171637
156,4,4,0.073950091296409,2563.10012172855
157,3,3,0.11442483262325,2528.34510042605
158,10,10,0.206634205721242,2210.89926962873
159,5,5,0.0398660986001217,2579.59951308582
160,4,4,0.446743761412051,2073.66342057212
161,3,3,0.634814363968351,1697.17985392575
162,8,8,0.126293365794279,2259.31984175289
163,7,8,0.0891661594643944,2595.43883140596
164,14,13,0.123250152160682,2210.02891052952
165,5,4,0.0605599513085819,2536.18654899574
166,7,6,0.150639074863055,2216.81405964699
167,5,4,0.0727328058429702,2396.99634814364
168,3,2,0.485392574558734,1980.65733414486
169,8,7,0.246500304321363,2009.91631162508
170,11,10,0.271758977480219,1949.19720024346
171,5,5,0.0833840535605599,2537.5
172,7,7,0.111685940353013,2197.63816189897
173,2,2,0.095861229458308,2680.5398660986
174,2,2,0.0636031649421789,2747.56269020085
175,7,6,0.630249543517955,1543.84996956786
176,7,7,0.132379793061473,2319.18989653074
177,7,6,0.0986001217285453,2251.93944004869
178,2,2,0.0496043822276324,2666.36548995739
179,4,4,0.0754716981132075,2586.00304321363
180,9,9,0.132684114424833,2273.53256238588
181,10,9,0.368837492391966,1879.74223980523
182,7,7,0.139074863055386,2382.7151552039
183,9,8,0.066646378575776,2408.66342057212
184,4,3,0.438222763237979,2050.44461351187
185,7,6,0.143944004869142,2033.81923311016
186,8,9,0.139683505782106,2166.23097991479
187,5,4,0.116250760803408,2509.54382227632
188,6,6,0.132684114424833,2383.51734631771
189,3,2,0.0678636640292149,2734.91631162508
190,9,8,0.367924528301887,2051.91783323189
191,12,12,0.172245891661595,2347.20450395618
192,6,6,0.11503347534997,2225.64181375533
193,5,5,0.0821667681071211,2608.36427267194
194,5,5,0.0483870967741935,2693.3837492392
195,4,4,0.194461351186853,2447.42239805234
196,6,5,0.241631162507608,2108.73219720024
197,6,5,0.073950091296409,2452.36183810103
198,8,8,0.112598904443092,2167.82501521607
199,8,8,0.214242239805234,2051.39379184419
200,10,9,0.170419963481436,1954.41022519781
