"result_id","varied_parameter","parameter_value","R0","K","r","alpha","gamma","I0","P1","P1_raw","P1_exact_grid","P1_source","I_star","I_peak","time_of_I_peak","duration_method","endpoint_type","endpoint_status","I_first_trough","time_of_first_trough","T_osc","T_osc_approx","c","T_T","integral_I","Ibar_T","Ibar_T_over_I_star","I_peak_over_I_star","oscillation_argument","exact_oscillation_valid","turnover_mapping","p0","q0","q0_source","time_shift","stochastic_persistent_at_shift","stochastic_transient_at_shift","stochastic_total_at_shift","final_p","final_q","final_total","RMSE_one_state_p","RMSE_new_two_state_p","RMSE_new_two_state_total","RMSE_new_two_state_q","RMSE_new_two_state_zero_q0_p","RMSE_new_two_state_zero_q0_total","max_abs_error_one_state_p","max_abs_error_new_two_state_p","correlation_new_two_state_p"
11,"K",1e+05,2.5,1e+05,0.125,1e-04,1,10,0.973,0.973,0.973,"empirical_exact_grid",3000,25545.1607865942,6.48963860692307,"I1_or_first_trough","first_trough","success_first_trough",41.756357143879,22.6165035538659,15.5586392480406,NA,NA,22.6165035538659,101638.608872205,4494.00185267945,1.49800061755982,8.51505359553141,NA,TRUE,"normalized logistic deterministic invasion; hybrid endpoint",0.973,0,"observed episode-classified transient occupancy at raw minimum",28.1,0.97,0,0.97,0.999999999999999,1.03137386786741e-16,0.999999999999999,0.00168256070999785,0.001657111579734,0.001575992045943,0.000304456365527775,0.001657111579734,0.001575992045943,0.0273213155844145,0.0269030864107327,0.803859912985073
12,"alpha",1e-05,2.5,10000,0.125,1e-05,1,10,0.316,0.316,0.316,"empirical_exact_grid",300,2556.50283440887,4.95060466857504,"I1_or_first_trough","first_trough","success_first_trough",4.16041970502662,21.0822175525708,15.5586392480406,NA,NA,21.0822175525708,10161.2200825715,481.980610305031,1.6066020343501,8.52167611469623,NA,TRUE,"normalized logistic deterministic invasion; hybrid endpoint",0.316,0,"observed episode-classified transient occupancy at raw minimum",31.7,0.24,0,0.245,0.742930319747141,0.00822102444877037,0.751151344195912,0.132987957769377,0.136439099321661,0.13784389213604,0.00633033794831249,0.136439099321661,0.13784389213604,0.20794406931375,0.211358335486726,0.988717716218749
13,"alpha",3e-05,2.5,10000,0.125,3e-05,1,10,0.316,0.316,0.316,"empirical_exact_grid",300,2556.50283440887,4.95060466857504,"I1_or_first_trough","first_trough","success_first_trough",4.16041970502662,21.0822175525708,15.5586392480406,NA,NA,21.0822175525708,10161.2200825715,481.980610305031,1.6066020343501,8.52167611469623,NA,TRUE,"normalized logistic deterministic invasion; hybrid endpoint",0.316,0,"observed episode-classified transient occupancy at raw minimum",27.8,0.275,0,0.275,0.987520786732024,0.00148900581042332,0.989009792542447,0.0662952930007538,0.067060149778403,0.0700252699433373,0.00946755762419778,0.067060149778403,0.0700252699433373,0.108490027301384,0.118195912918411,0.992094917983696
14,"alpha",1e-04,2.5,10000,0.125,1e-04,1,10,0.316,0.316,0.316,"empirical_exact_grid",300,2556.50283440887,4.95060466857504,"I1_or_first_trough","first_trough","success_first_trough",4.16041970502662,21.0822175525708,15.5586392480406,NA,NA,21.0822175525708,10161.2200825715,481.980610305031,1.6066020343501,8.52167611469623,NA,TRUE,"normalized logistic deterministic invasion; hybrid endpoint",0.316,0,"observed episode-classified transient occupancy at raw minimum",30.6,0.29,0,0.295,0.999994888999013,1.70173520735655e-06,0.999996590734221,0.0273353265011216,0.0195932901491209,0.0254662283680919,0.0117425531384961,0.0195932901491209,0.0254662283680919,0.0856795429547519,0.0611438833084112,0.996116520303579
15,"alpha",3e-04,2.5,10000,0.125,3e-04,1,10,0.316,0.316,0.316,"empirical_exact_grid",300,2556.50283440887,4.95060466857504,"I1_or_first_trough","first_trough","success_first_trough",4.16041970502662,21.0822175525708,15.5586392480406,NA,NA,21.0822175525708,10161.2200825715,481.980610305031,1.6066020343501,8.52167611469623,NA,TRUE,"normalized logistic deterministic invasion; hybrid endpoint",0.316,0.005,"observed episode-classified transient occupancy at raw minimum",31.8,0.225,0.005,0.235,0.99999999914207,5.36979666841816e-10,0.99999999967905,0.0127586689205993,0.0201781761430591,0.0179922999972107,0.0221814333570435,0.0201630777863633,0.0177050171188811,0.09780043934878,0.0980912552921766,0.981347636225847
16,"alpha",0.001,2.5,10000,0.125,0.001,1,10,0.316,0.316,0.316,"empirical_exact_grid",300,2556.50283440887,4.95060466857504,"I1_or_first_trough","first_trough","success_first_trough",4.16041970502662,21.0822175525708,15.5586392480406,NA,NA,21.0822175525708,10161.2200825715,481.980610305031,1.6066020343501,8.52167611469623,NA,TRUE,"normalized logistic deterministic invasion; hybrid endpoint",0.316,0.01,"observed episode-classified transient occupancy at raw minimum",29.4,0.285,0.01,0.295,0.999999999996967,2.60180595124824e-12,0.999999999999569,0.0142087379284368,0.0395779290170464,0.0185293294903015,0.0415183049117273,0.0393403345345357,0.0179239689450807,0.124236944891659,0.207004455190379,0.870241218151532
17,"r",0.05,2.5,10000,0.05,1e-04,1,10,1e-06,0,0,"empirical_exact_grid",120,2425.41658353777,4.90428921792674,"I1_or_first_trough","I1_crossing","success_I1_crossing",0.000703307645616343,41.3583968798938,23.5648216426584,NA,NA,17.9614476092754,9387.27040863639,522.634400792325,4.35528667326937,20.2118048628147,NA,TRUE,"normalized logistic deterministic invasion; hybrid endpoint",1e-06,0,"observed episode-classified transient occupancy at raw minimum",29.7,0,0,0,1.00032226358575e-06,3.51325245280685e-06,4.5135747163926e-06,1.00001134615171e-06,1.00013962630028e-06,4.05517048203672e-06,3.08200190002041e-06,1.00013962630028e-06,4.05517048203672e-06,1.00002304384246e-06,1.00032226358575e-06,NA
18,"r",0.1,2.5,10000,0.1,1e-04,1,10,0.0590000000000001,0.0590000000000001,0.0590000000000001,"empirical_exact_grid",240,2512.64750416833,4.93536766292391,"I1_or_first_trough","I1_crossing","success_I1_crossing",0.968745987758063,24.4023259945754,17.1403872533621,NA,NA,23.3677031002147,9890.20021959527,423.242292029309,1.76350955012212,10.4693646007014,NA,TRUE,"normalized logistic deterministic invasion; hybrid endpoint",0.0590000000000001,0,"observed episode-classified transient occupancy at raw minimum",33.3,0.055,0,0.055,0.739260959521945,0.0842115738764547,0.8234725333984,0.182507368523776,0.0618084645663151,0.128852394276607,0.0735705734463034,0.0618084645663151,0.128852394276607,0.322663146225025,0.107609798925707,0.988050953832566
19,"r",0.125,2.5,10000,0.125,1e-04,1,10,0.316,0.316,0.316,"empirical_exact_grid",300,2556.50283440887,4.95060466857504,"I1_or_first_trough","first_trough","success_first_trough",4.16041970502662,21.0822175525708,15.5586392480406,NA,NA,21.0822175525708,10161.2200825715,481.980610305031,1.6066020343501,8.52167611469623,NA,TRUE,"normalized logistic deterministic invasion; hybrid endpoint",0.316,0,"observed episode-classified transient occupancy at raw minimum",30.6,0.29,0,0.295,0.999994888999013,1.70173520735655e-06,0.999996590734221,0.0273353265011216,0.0195932901491209,0.0254662283680919,0.0117425531384961,0.0195932901491209,0.0254662283680919,0.0856795429547519,0.0611438833084112,0.996116520303579
20,"r",0.2,2.5,10000,0.2,1e-04,1,10,0.986,0.986,0.986,"empirical_exact_grid",480,2688.86285584315,4.99522214719027,"I1_or_first_trough","first_trough","success_first_trough",39.1648805908889,16.2118149182645,12.8928242146115,NA,NA,16.2118149182645,11005.969811173,678.885730355424,1.4143452715738,5.6017976163399,NA,TRUE,"normalized logistic deterministic invasion; hybrid endpoint",0.986,0,"observed episode-classified transient occupancy at raw minimum",19.3,0.995,0,0.995,0.999999999999996,4.18767934046911e-17,0.999999999999996,0.00133458722042529,0.00133083319587291,0.00132394329431266,0.00017911597269858,0.00133083319587291,0.00132394329431266,0.00900000000000001,0.00900000000000001,0.482805414787966
21,"r",0.4,2.5,10000,0.4,1e-04,1,10,0.999999,1,1,"empirical_exact_grid",960,3047.46653259545,5.10688160383838,"I1_or_first_trough","first_trough","success_first_trough",317.511315966961,12.2001655575941,10.6205215912211,NA,NA,12.2001655575941,13160.2456665101,1078.69402299368,1.12363960728508,3.17444430478692,NA,TRUE,"normalized logistic deterministic invasion; hybrid endpoint",0.999999,0,"observed episode-classified transient occupancy at raw minimum",0,1,0,1,0.999999999999998,2.21052585912541e-21,0.999999999999998,5.2073070987767e-08,5.20730923408418e-08,5.20730647350223e-08,4.12803944586301e-14,5.20730923408418e-08,5.20730647350223e-08,1.00000000002876e-06,1.00000000002876e-06,NA
