"R0","K","log10K","r","gamma","dt","nsim","t_max","n_patch","alpha","I_init","ext_prob","n_ext","mean_ext_time_index","mean_T_ext","omega_sq","T_osc","omega_logistic_sq","T_osc_logistic","ratio","log10_T_osc","log10_mean_T_ext","log10_ratio","oscillatory","logistic_oscillatory","positive_extinction_time","within_Tosc_window","finite_valid"
3.4,1778.27941003892,3.25,0.05,1,0.1,1000,200,1,0,10,1,1000,118.248,11.7248,0.112775,18.7099854804317,0.0352400519031142,33.4704536460971,0.626660026661308,1.27207345047324,1.06910544331572,-0.202968007157522,TRUE,TRUE,TRUE,TRUE,TRUE
3.5,1778.27941003892,3.25,0.05,1,0.1,1000,200,1,0,10,1,1000,115.156,11.4156,0.11734375,18.3421350538246,0.0356632653061225,33.2712652113366,0.62237029476128,1.26344988684797,1.05749874279438,-0.205951144053598,TRUE,TRUE,TRUE,TRUE,TRUE
3.6,1778.27941003892,3.25,0.05,1,0.1,1000,200,1,0,10,1,1000,114.949,11.3949,0.1219,17.9960841616918,0.0360628858024691,33.0864086982992,0.633187747824399,1.25517801554892,1.05671051822734,-0.198467497321582,TRUE,TRUE,TRUE,TRUE,TRUE
3.7,1778.27941003892,3.25,0.05,1,0.1,1000,200,1,0,10,1,1000,113.507,11.2507,0.12644375,17.669781722902,0.0364408327246165,32.9143832756554,0.636719806528106,1.24723118464402,1.05117954437447,-0.196051640269548,TRUE,TRUE,TRUE,TRUE,TRUE
3.8,1778.27941003892,3.25,0.05,1,0.1,1000,200,1,0,10,1,1000,112.132,11.1132,0.130975,17.3614368428644,0.0367988227146814,32.7538914948772,0.640108310192516,1.23958566479812,1.04583913024938,-0.19374653454874,TRUE,TRUE,TRUE,TRUE,TRUE
3.9,1778.27941003892,3.25,0.05,1,0.1,1000,200,1,0,10,1,1000,109.986,10.8986,0.13549375,17.0694778741834,0.0371383957922419,32.6038058417393,0.638484673071548,1.23222023700056,1.03737071341542,-0.194849523585131,TRUE,TRUE,TRUE,TRUE,TRUE
4,1778.27941003892,3.25,0.05,1,0.1,1000,200,1,0,10,1,1000,109.444,10.8444,0.14,16.7925190836271,0.0374609375,32.4631416994809,0.645787564450255,1.225115850519,1.0352055283283,-0.189910322190694,TRUE,TRUE,TRUE,TRUE,TRUE
4.1,1778.27941003892,3.25,0.05,1,0.1,1000,200,1,0,10,1,1000,107.622,10.6622,0.14449375,16.5293333098892,0.0377676977989292,32.3310353302746,0.6450471897509,1.21825533719666,1.02784682469821,-0.190408512498452,TRUE,TRUE,TRUE,TRUE,TRUE
4.2,1778.27941003892,3.25,0.05,1,0.1,1000,200,1,0,10,1,1000,107.442,10.6442,0.148975,16.2788293800036,0.0380598072562358,32.2067258180896,0.65386765543934,1.2116231713097,1.02711302616499,-0.184510145144711,TRUE,TRUE,TRUE,TRUE,TRUE
4.3,1778.27941003892,3.25,0.05,1,0.1,1000,200,1,0,10,1,1000,106.057,10.5057,0.15344375,16.0400333357041,0.0383382909680909,32.0895401635769,0.654967466720593,1.20520526653526,1.02142499496273,-0.183780271572529,TRUE,TRUE,TRUE,TRUE,TRUE
4.4,1778.27941003892,3.25,0.05,1,0.1,1000,200,1,0,10,1,1000,105.601,10.4601,0.1579,15.8120727327611,0.0386040805785124,31.9788809056498,0.661526175396833,1.19898880335397,1.0195358364663,-0.179452966887665,TRUE,TRUE,TRUE,TRUE,TRUE
4.5,1778.27941003892,3.25,0.05,1,0.1,1000,200,1,0,10,1,1000,104.847,10.3847,0.16234375,15.5941634360534,0.038858024691358,31.8742157826087,0.665935049519283,1.19296208157147,1.01639395486953,-0.176568126701939,TRUE,TRUE,TRUE,TRUE,TRUE
4.6,1778.27941003892,3.25,0.05,1,0.1,1000,200,1,0,10,1,1000,103.665,10.2665,0.166775,15.3855984547325,0.0391008979206049,31.7750690503403,0.66727986111207,1.1871143936958,1.01142241148846,-0.175691982207345,TRUE,TRUE,TRUE,TRUE,TRUE
